50.723	78.854	72.787
30.554	67.92	11.572
69.172	40.871	19.776
87.682	30.094	39.368
89.572	86.604	55.727
86.512	85.124	50.893
83.007	83.052	59.825
49.226	41.577	25.401
69.496	4.103	52.159
39.546	71.314	19.51
83.996	35.165	8.984
76.355	84.752	26.662
30.793	39.099	6.218
6.51	48.013	86.943
2.063	60.354	86.46
85.652	16.504	8.141
15.884	18.729	68.634
82.68	82.521	60.1
16.834	51.725	9.174
86.028	5.682	36.654
82.562	84.36	62.391
83.227	88.657	27.046
24.528	59.304	75.943
16.054	66.06	28.021
26.165	78.938	87.517
39.181	78.246	14.409
2.282	27.419	87.058
42.488	72.264	22.284
88.827	88.66	20.965
85.754	89.586	62.086
37.591	75.971	13.829
35.012	75.932	3.087
3.249	71.511	0.407
43.197	81.815	28.291
84.227	10.319	42.271
14.574	18.21	75.69
2.601	62.974	85.399
39.615	76.079	61.286
25.396	60.731	42.315
87.995	87.66	10.756
46.144	82.232	20.768
86.427	63.419	74.962
10.849	33.55	79.491
1.269	52.2	73.858
45.21	77.212	23.759
87.709	69.17	81.367
51.536	41.254	51.492
2.019	45.898	87.668
42.925	79.291	7.627
77.681	87.101	28.373
83.988	86.45	55.299
80.159	18.548	18.381
89.569	85.047	58.872
9.984	55.101	2.304
25.382	69.115	86.185
68.56	57.814	87.624
27.296	81.334	56.334
11.14	21.808	79.186
7.323	57.967	7.312
50.042	81.584	32.018
30.197	60.835	11.396
89.459	29.028	49.857
83.032	86.313	58.584
3.054	58.031	83.666
1.695	69.106	2.917
84.88	89.813	64.898
52.956	22.513	68.167
83.012	89.935	61.042
6.482	23.175	79.461
4.433	62.67	89.039
62.061	11.745	21.408
83.685	86.262	17.757
81.345	79.106	30.507
87.053	89.029	25.467
82.603	83.36	60.226
3.969	63.127	78.428
80.244	27.552	65.552
68.54	13.248	40.181
49.41	77.722	7.905
89.978	85.368	21.984
88.025	13.889	39.566
84.595	18.238	49.437
0.316	80.449	86.482
8.559	70.781	11.346
83.392	89.967	29.12
4.548	26.023	78.324
8.924	52.988	82.743
56.669	82.214	33.457
5.812	30.279	80.931
61.393	83.247	0.423
84.474	24.88	48.366
11.728	17.916	77.423
8.918	55.59	78.969
88.151	89.619	24.808
84.531	87.028	65.511
39.747	55.029	5.493
0.981	46.126	86.943
0.939	78.683	87.179
30.051	84.41	77.703
23.674	26.693	73.355
23.783	14.027	66.431
83.243	84.712	41.115
40.115	71.037	15.785
66.793	56.4	88.618
1.736	82.491	5.356
83.853	83.071	47.83
15.033	33.938	80.442
89.714	89.138	22.569
85.155	82.985	64.657
9.965	69.702	0.525
4.032	30.067	85.218
88.338	89.656	63.231
0.025	36.845	80.049
7.383	68.058	86.855
23.783	74.158	11.525
43.307	28.901	76.701
12.681	10.191	8.993
79.848	85.652	68.362
88.607	89.119	26.03
85.559	74.052	57.713
78.173	28.937	51.006
2.241	68.902	88.141
48.435	17.934	51.585
